SKU,Counted Qty,Notes
BOLT-M10-SS,150,Cabinet shelf A1
BOLT-M12-GI,80,Cabinet shelf A2
CEM-OPC-40KG,45,Warehouse row 1
CEM-OPC-50KG,12,Warehouse row 1
GI-PIPE-1IN,30,Rack B3
GI-PIPE-2IN,18,Rack B4
GRAVEL-34,200,Yard pile 1
NAILS-2IN-1KG,60,Cabinet shelf C5
NAILS-3IN-1KG,55,Cabinet shelf C6
PAINT-WHITE-4L,20,Paint section
PAINT-GRAY-4L,15,Paint section
PLYWOOD-34,35,Lumber yard
REBAR-10MM,500,Yard pile 2
REBAR-12MM,320,Yard pile 3
SAND-WASHED,180,Yard pile 4
WIRE-TIE-1KG,90,Cabinet shelf D1
UNKNOWN-SKU-999,5,Unidentifiable item
